# symbol	classification	core reachability	preserved behavior	source/evidence
HSD_LObjSetupInit	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
HSD_LObj_803668EC	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
ftCh_GrabUnk1_8015ADD0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftCh_GrabUnk1_8015BC88	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_MS_343_80151484	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_MS_389_80151018	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftPe_8011D598	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
it_80284FC4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80285024	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B08C	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B618	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B648	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B6B0	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B718	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B780	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B7E8	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028B850	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BDA40	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BDD40	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BDDB4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
lbRefract_80022998	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
lbRefract_80022BD0	renderer/light exclusion	unreachable	named abort	headless bootstrap schedules no light/GX consumer
ftCh_Init_80156014	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftCl_Init_8014919C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftCl_Init_80149318	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftDk_MS_349_800E06D8	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftDr_Init_80149910	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftGw_Attack11_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftGw_AttackAirN_DecideAction	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftGw_AttackLw3_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftGw_AttackS4_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDC00	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDC70	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDD14	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDD4C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDDF4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNFx_800FDEB4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialNSk_80105FF0	unsupported-fighter branch	unreachable	named abort	Sheik needle-held dispatch selects this callback only for Kirby's copied neutral special
ftKb_SpecialNSk_80106020	unsupported-fighter branch	unreachable	named abort	Sheik needle-held dispatch selects this callback only for Kirby's copied neutral special
ftKb_SpecialN_800F1CD8	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F1F68	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5D04	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftLk_AttackAir_800EB3BC	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftLk_AttackAir_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftMh_MS_341_8014FE58	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftNs_AttackLw4_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftNs_AttackS4_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftPe_AttackS4_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftPe_Init_8011B93C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftSs_SpecialLw_8012AEBC	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftSs_SpecialLw_8012AF38	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Init_8012B8A4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Init_8012BAC0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Init_8012BDA0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Init_8012BE3C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Init_8012BECC	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012C600	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012C914	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftYs_Shield_8012CC1C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftCo_800CD350	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_800CD418	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_800CD4E0	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_800CD5A8	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_800CD82C	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_800CDAB4	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
it_8027D730	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802852B8	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80285314	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028E774	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028E79C	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028E938	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8028FE90	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80291DAC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80291F14	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80292EAC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80292EF8	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80292F14	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80293660	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80293DCC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80293E34	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80294364	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80294430	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80294E78	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_80294EB0	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802950D4	disabled item branch	unreachable	named abort	transform copying calls this rabbit-hood model toggle only when an items-off match carries the absent common article
it_8029A748	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8029A89C	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8029A8F4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_8029D968	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802BAA94	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802D09D0	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802E5EF4	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802E5F8C	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802EAAEC	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802EADD8	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
it_802EAF28	disabled item/non-Fox article branch	unreachable	named abort	items-off rules retain only Fox blaster/illusion/laser article owners
grKongo_801D828C	unsupported-stage branch	unreachable	named abort	Final Destination cannot dispatch Kongo/Old Kongo owners
grOldKongo_802105C8	unsupported-stage branch	unreachable	named abort	Final Destination cannot dispatch Kongo/Old Kongo owners
ftCo_BatSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_BatSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_BatSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_BatSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureCrazyHand_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureCrazyHand_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureCrazyHand_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureCrazyHand_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureDamageCrazyHand_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureDamageCrazyHand_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureDamageCrazyHand_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureDamageCrazyHand_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureKirbyYoshi_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureKirbyYoshi_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureKirbyYoshi_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureKirbyYoshi_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureLikelike_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureLikelike_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureLikelike_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureLikelike_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureWaitCrazyHand_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureWaitCrazyHand_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureWaitCrazyHand_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_CaptureWaitCrazyHand_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_HarisenSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_HarisenSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_HarisenSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_HarisenSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_KirbyYoshiEgg_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_KirbyYoshiEgg_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_KirbyYoshiEgg_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_KirbyYoshiEgg_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_LipstickSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_LipstickSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_LipstickSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_LipstickSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ParasolSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ParasolSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ParasolSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ParasolSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_StarRodSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_StarRodSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_StarRodSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_StarRodSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_SwordSwing_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_SwordSwing_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_SwordSwing_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_SwordSwing_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ThrownCrazyHand_Anim	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ThrownCrazyHand_Coll	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ThrownCrazyHand_IASA	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftCo_ThrownCrazyHand_Phys	outside-domain common MotionState/item branch	unreachable	named abort	held items, boss captures, or non-Fox kind dispatch cannot enter this callback
ftDk_MS_341_800DF980	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftGw_Attack100Start_Enter	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800EEEC4	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F190C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5874	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5954	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F597C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F598C	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5A04	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5A38	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5A60	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5A70	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5A98	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5AC0	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5AD8	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5B00	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
ftKb_SpecialN_800F5B10	unsupported-fighter branch	unreachable	named abort	Fox kind dispatch cannot select this fighter-specific owner
