# decomp_pin	91b9789fa6539ea847998a6ed330fa748fa200ec
# upstream_path	canonical_path	upstream_status	build_transform	disposition
src/melee/ft/chara/ftCommon/ftCo_09C4.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_09C4.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_09F4.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_09F4.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_09F7.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_09F7.c	NonMatching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_0C35.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_0C35.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_0C60.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_0C60.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AirCatch.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AirCatch.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AppealS.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AppealS.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Attack1.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Attack1.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Attack100.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Attack100.c	NonMatching	0041-capture-wait-floor-owner.patch	compiled directly from canonical source by src/melee_core/Makefile; corrected from GALE01 0x800DBA8C floor-continuation owner
src/melee/ft/chara/ftCommon/ftCo_AttackAir.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackAir.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackDash.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackDash.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackHi3.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackHi3.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackHi4.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackHi4.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackLw3.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackLw3.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackLw4.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackLw4.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackS3.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackS3.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_AttackS4.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_AttackS4.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Barrel.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Barrel.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_BarrelWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_BarrelWait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Bury.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Bury.c	NonMatching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_BuryWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_BuryWait.c	not-listed	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureCaptain.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureCaptain.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureCut.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureCut.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureDamageKoopa.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureDamageKoopa.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureKirby.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureKirby.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureKoopa.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureKoopa.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureMewtwo.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureMewtwo.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureWaitKirby.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureWaitKirby.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureWaitKoopa.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureWaitKoopa.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CaptureYoshi.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CaptureYoshi.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoFall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoJump.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoJump.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoKneebend.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoKneebend.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoLanding.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoLanding.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoThrow.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoThrow.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoTurn.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoTurn.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoWait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CargoWalk.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CargoWalk.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CliffAttack.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CliffAttack.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CliffClimb.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CliffClimb.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CliffEscape.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CliffEscape.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CliffJump.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CliffJump.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_CliffWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_CliffWait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Damage.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Damage.c	NonMatching	0003-ppc-source-exactness.patch,0043-damage-color-animation-owner.patch	compiled directly from canonical source by src/melee_core/Makefile; portable fields from historical patches 0003 and 0013; retail-DOL color-animation argument correction from historical patch 0043
src/melee/ft/chara/ftCommon/ftCo_DamageBind.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DamageBind.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DamageFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DamageFall.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_DamageIce.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DamageIce.c	NonMatching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DamageScrew.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DamageScrew.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DamageSong.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DamageSong.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Dash.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Dash.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DemoCallback0.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DemoCallback0.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Down.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Down.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DownAttack.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DownAttack.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DownBound.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DownBound.c	NonMatching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DownDamage.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DownDamage.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DownSpot.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DownSpot.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_DownStand.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_DownStand.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Escape.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Escape.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_EscapeAir.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_EscapeAir.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Fall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Fall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_FallAerial.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_FallAerial.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_FallSpecial.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_FallSpecial.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_FlyReflect.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_FlyReflect.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Furafura.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Furafura.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Guard.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Guard.c	NonMatching	0003-ppc-source-exactness.patch,0046-guard-pose-float-exactness.patch	compiled directly from canonical source by src/melee_core/Makefile; hosted retail arithmetic from historical patches 0003 and 0046
src/melee/ft/chara/ftCommon/ftCo_HammerFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerFall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerJump.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerJump.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerKneeBend.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerKneeBend.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerLanding.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerLanding.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerTurn.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerTurn.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerWait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_HammerWalk.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_HammerWalk.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemParasolDamageFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemParasolDamageFall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemParasolFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemParasolFall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemParasolFallSpecial.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemParasolFallSpecial.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemParasolOpen.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemParasolOpen.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemScrew.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemScrew.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ItemThrow.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ItemThrow.c	NonMatching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Jump.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Jump.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_JumpAerial.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_JumpAerial.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_KinokoGiantEnd.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_KinokoGiantEnd.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_KinokoGiantStart.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_KinokoGiantStart.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_KinokoSmallEnd.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_KinokoSmallEnd.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_KinokoSmallStart.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_KinokoSmallStart.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_KneeBend.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_KneeBend.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Landing.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Landing.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_LandingAir.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_LandingAir.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_Lift.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Lift.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_MissFoot.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_MissFoot.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Ottotto.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Ottotto.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Pass.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Pass.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_Passive.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Passive.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_PassiveCeil.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_PassiveCeil.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_PassiveStand.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_PassiveStand.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_PassiveWall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_PassiveWall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Rebound.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Rebound.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Run.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Run.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_RunBrake.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_RunBrake.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_RunDirect.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_RunDirect.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ShieldBreakDown.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ShieldBreakDown.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ShieldBreakFall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ShieldBreakFall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ShieldBreakFly.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ShieldBreakFly.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ShieldBreakStand.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ShieldBreakStand.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Shouldered.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Shouldered.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_SpecialAir.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_SpecialAir.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_SpecialS.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_SpecialS.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Squat.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Squat.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_SquatRv.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_SquatRv.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_SquatWait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_SquatWait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_StopCeil.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_StopCeil.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_StopWall.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_StopWall.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Throw.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Throw.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Thrown.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Thrown.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ThrownKirby.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ThrownKirby.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ThrownKoopa.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ThrownKoopa.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_ThrownMewtwo.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_ThrownMewtwo.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Turn.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Turn.c	Matching	0002-headless-fox-fd-runtime.patch	compiled directly from canonical source by src/melee_core/Makefile; adapted by historical patch 0002-headless-fox-fd-runtime.patch
src/melee/ft/chara/ftCommon/ftCo_TurnRun.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_TurnRun.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Wait.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Wait.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_Walk.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_Walk.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
src/melee/ft/chara/ftCommon/ftCo_WarpStar.c	src/melee_core/gameplay/src/melee/ft/chara/ftCommon/ftCo_WarpStar.c	Matching	none	compiled directly from canonical source by src/melee_core/Makefile
